name,entry_id,spacegroup,ntypes,band_gap,delta_e
ZnO,20684,Pm-3m,2,0.0,-0.932217242939378
CuO,11469,Fm-3m,2,0.0,-0.673435953782877
TiO,17898,Fm-3m,2,0.0,-2.52230953983251
VO,5578,Fm-3m,2,1.191,-2.25997276058168
BeO,20737,F-43m,2,7.021,-2.96037920793938
MgO,2577,Fm-3m,2,4.975,-2.94594340252271
MnO,2578,Fm-3m,2,0.423,-2.03612689904531
NiO,2580,Fm-3m,2,2.62,-1.23937222615822
ZnO,20685,F-43m,2,0.967,-1.64199892293938
AgO,6628,F-43m,2,0.0,-0.00377387168937737
NiO,13807,C2/m,2,2.61,-1.24138583615822
FeO,5404,Fm-3m,2,0.0,-1.2172480271465
ZnO,6958,Fm-3m,2,1.084,-1.50366150793938
AlO,5632,Fm-3m,2,0.0,-1.41558020793938
NiO,8206,R-3m,2,2.611,-1.24151304615822
CaO,5181,Fm-3m,2,3.687,-3.19367239793938
PdO,5611,P4/mmm,2,0.0,0.162874952060623
SrO,22298,Pm-3m,2,2.792,-2.52621002293938
SrO,5182,Fm-3m,2,3.363,-2.94105617793938
PaO,4671,Fm-3m,2,0.0,-1.42564590793938
BaO,5183,Fm-3m,2,2.111,-2.68244427293938
TaO,11517,Fm-3m,2,0.0,-1.09754764293938
O,6836,Fmmm,1,0.0,0.0956113312499998
ScO,11516,Fm-3m,2,0.0,-3.10399899543938
YbO,19509,Fm-3m,2,3.583,-3.50830931793938
BeO,5180,Fm-3m,2,8.496,-2.48674274293938
CdO,4707,Fm-3m,2,0.0,-1.23617653293938
NbO,6924,Fm-3m,2,0.0,-1.36391431793938
NpO,6097,Fm-3m,2,0.0,-2.61667458706062
PdO,7540,I4/mmm,2,0.0,-0.196037157939378
GdO,4731,F-43m,2,0.0,-2.88756785668938
PuO,6098,Fm-3m,2,0.0,-2.69164421541103
NiO,21113,Fm-3m,2,2.627,-1.23863952115822
BiO,5822,R3m,2,0.0,-0.733636390439377
ZrO,13641,Fm-3m,2,0.0,-2.42349611293938
PtO,17895,Fm-3m,2,0.0,0.339314437060622
FeO,14796,R-3m,2,1.259,-1.5186563421465
UO,4570,Fm-3m,2,0.0,-2.64172886920142
SnO2,21472,Fm-3m,2,0.622999999999999,-1.70816814286957
O,8088,R-3m,1,0.0,0.0704665712499999
PrO,13991,Fm-3m,2,0.0,-2.91241899168938
SmO,13998,Fm-3m,2,0.0,-2.97461337168938
ZrO2,17899,Fm-3m,2,3.344,-3.5646174672525
CrO,19121,Fm-3m,2,0.0,-1.93097746756901
PdO,13989,Fm-3m,2,0.0,-0.203769972939377
K2O,8501,Fm-3m,2,1.942,-1.16374723195958
SrO2,4577,I4/mmm,2,3.152,-2.15934994058584
Li2O,4179,Fm-3m,2,5.091,-1.97865190529292
O,3747,C2/m,1,0.0,0.0866220362500005
UO2,4571,Fm-3m,2,0.0,-3.51258465809387
BaO2,4576,I4/mmm,2,2.349,-2.11846348058584
Na2O,11317,Fm-3m,2,2.219,-1.42864745252735
PuO2,6102,Fm-3m,2,0.0,-3.26083678890027
LiO2,30681,Fm-3m,2,0.0,-0.253494947252503
PaO2,5629,Fm-3m,2,0.0,-3.05619005391917
Al2O,5631,Fm-3m,2,0.0,-0.0480285452929182
SiO2,8352,Fm-3m,2,2.245,-1.8129717322525
TbO2,5617,Fm-3m,2,0.0,-2.78571300547473
BaO2,22213,Cmmm,2,1.994,-1.97963893391917
Ag2O,3889,P-3m1,2,0.0,-0.118081310292918
Rb2O,13996,Fm-3m,2,1.637,-1.04751418529292
HgO,3506,Immm,2,0.0,-0.324666660422511
CSO,6273,R3m,3,4.762,-0.744891035797371
KO2,6949,I4/mmm,2,0.0,-1.08173259558584
