name,entry_id,spacegroup,ntypes,band_gap,delta_e,stability
ZnO,20684,Pm-3m,2,0.0,-0.932217242939378,0.7175315274999994
CuO,11469,Fm-3m,2,0.0,-0.673435953782877,0.1580984525
TiO,17898,Fm-3m,2,0.0,-2.52230953983251,0.2590501999999999
VO,5578,Fm-3m,2,1.191,-2.25997276058168,0.0028714649999996844
BeO,20737,F-43m,2,7.021,-2.96037920793938,0.0058306199999997865
MgO,2577,Fm-3m,2,4.975,-2.94594340252271,0.0003461549999999036
MnO,2578,Fm-3m,2,0.423,-2.03612689904531,0.0021182000000021795
NiO,2580,Fm-3m,2,2.62,-1.23937222615822,0.0021408199999999322
ZnO,20685,F-43m,2,0.967,-1.64199892293938,0.007749847499997298
AgO,6628,F-43m,2,0.0,-0.00377387168937737,0.31105001249999964
NiO,13807,C2/m,2,2.61,-1.24138583615822,0.00012721000000004423
FeO,5404,Fm-3m,2,0.0,-1.2172480271465,0.32578108000000006
ZnO,6958,Fm-3m,2,1.084,-1.50366150793938,0.14608726249999737
AlO,5632,Fm-3m,2,0.0,-1.41558020793938,1.3053081374497746
NiO,8206,R-3m,2,2.611,-1.24151304615822,0.0
CaO,5181,Fm-3m,2,3.687,-3.19367239793938,0.0022793949999972973
PdO,5611,P4/mmm,2,0.0,0.162874952060623,0.812278
SrO,22298,Pm-3m,2,2.792,-2.52621002293938,0.4194085300000001
SrO,5182,Fm-3m,2,3.363,-2.94105617793938,0.0045623750000003405
PaO,4671,Fm-3m,2,0.0,-1.42564590793938,0.9730203724999971
BaO,5183,Fm-3m,2,2.111,-2.68244427293938,0.004081735156250321
TaO,11517,Fm-3m,2,0.0,-1.09754764293938,1.102970249000001
O,6836,Fmmm,1,0.0,0.0956113312499998,0.0956113312499998
ScO,11516,Fm-3m,2,0.0,-3.10399899543938,0.07497120437499571
YbO,19509,Fm-3m,2,3.583,-3.50830931793938,0.00011606000000030647
BeO,5180,Fm-3m,2,8.496,-2.48674274293938,0.479467085
CdO,4707,Fm-3m,2,0.0,-1.23617653293938,0.003563953333330039
NbO,6924,Fm-3m,2,0.0,-1.36391431793938,0.7910428166666601
NpO,6097,Fm-3m,2,0.0,-2.61667458706062,0.29808236000000266
PdO,7540,I4/mmm,2,0.0,-0.196037157939378,0.45336588999999894
GdO,4731,F-43m,2,0.0,-2.88756785668938,0.27295517777456935
PuO,6098,Fm-3m,2,0.0,-2.69164421541103,0.3673949300000001
NiO,21113,Fm-3m,2,2.627,-1.23863952115822,0.0028735250000000434
BiO,5822,R3m,2,0.0,-0.733636390439377,0.4947198763365728
ZrO,13641,Fm-3m,2,0.0,-2.42349611293938,0.39505891999999676
PtO,17895,Fm-3m,2,0.0,0.339314437060622,0.9312949624999984
FeO,14796,R-3m,2,1.259,-1.5186563421465,0.024372765000000074
UO,4570,Fm-3m,2,0.0,-2.64172886920142,0.2227452262439802
SnO2,21472,Fm-3m,2,0.622999999999999,-1.70816814286957,0.24845186833333366
O,8088,R-3m,1,0.0,0.0704665712499999,0.0704665712499999
PrO,13991,Fm-3m,2,0.0,-2.91241899168938,0.06763838787143195
SmO,13998,Fm-3m,2,0.0,-2.97461337168938,0.10957889495489237
ZrO2,17899,Fm-3m,2,3.344,-3.5646174672525,0.06836496333334008
CrO,19121,Fm-3m,2,0.0,-1.93097746756901,0.236511919999997
PdO,13989,Fm-3m,2,0.0,-0.203769972939377,0.445633075
K2O,8501,Fm-3m,2,1.942,-1.16374723195958,0.0
SrO2,4577,I4/mmm,2,3.152,-2.15934994058584,0.04492758166666011
Li2O,4179,Fm-3m,2,5.091,-1.97865190529292,0.0009359800000001695
O,3747,C2/m,1,0.0,0.0866220362500005,0.0866220362500005
UO2,4571,Fm-3m,2,0.0,-3.51258465809387,0.30671413583332985
BaO2,4576,I4/mmm,2,2.349,-2.11846348058584,0.00682847666666353
Na2O,11317,Fm-3m,2,2.219,-1.42864745252735,0.0
PuO2,6102,Fm-3m,2,0.0,-3.26083678890027,0.14256254500000143
LiO2,30681,Fm-3m,2,0.0,-0.253494947252503,0.9386636383333371
PaO2,5629,Fm-3m,2,0.0,-3.05619005391917,0.14203165333333256
Al2O,5631,Fm-3m,2,0.0,-0.0480285452929182,1.7658970400669585
SiO2,8352,Fm-3m,2,2.245,-1.8129717322525,1.2605842149999997
TbO2,5617,Fm-3m,2,0.0,-2.78571300547473,0.2509856300000002
BaO2,22213,Cmmm,2,1.994,-1.97963893391917,0.14565302333333374
Ag2O,3889,P-3m1,2,0.0,-0.118081310292918,0.115699223333333
Rb2O,13996,Fm-3m,2,1.637,-1.04751418529292,0.0036047333333300013
HgO,3506,Immm,2,0.0,-0.324666660422511,0.13564973666666696
CSO,6273,R3m,3,4.762,-0.744891035797371,0.09882238683867572
KO2,6949,I4/mmm,2,0.0,-1.08173259558584,0.0
RbO2,30892,I4/mmm,2,0.0,-1.0604990772525,0.0001863733333400397
Cs2O,5411,R-3m,2,1.251,-1.11019405862625,0.001747511111110045
NpO2,30883,Fm-3m,2,2.612,-3.71040866,0.00168316833333515
PtO2,20807,C2/m,2,1.415,-0.722288417252502,0.018579403333333966
CsO2,6963,I4/mmm,2,0.0,-1.0705506072525,0.0
NiO2,15700,C2/m,2,1.249,-0.614340626065063,0.2807291325
PbO2,13988,Fm-3m,2,0.0,-1.01453971058584,0.1063849149999967
CsO,4779,Immm,2,1.902,-1.21283872543938,0.0
NaCuO2,2985,P-1,3,0.749,-1.23541745107404,0.007213197499998936
LiO3,22226,Imm2,2,0.0,-0.918965089409066,0.0
AlCuO2,4794,R-3m,3,2.332,-2.33172943586113,0.0
RbNdO2,5306,R-3m,3,3.697,-2.77067115168938,0.00031598375000019274
GaCuO2,4795,R-3m,3,1.336,-1.58872746961113,0.00028030625000008413
RbSmO2,5307,R-3m,3,3.774,-2.82116546481438,0.0006672612499998287
FeCuO2,4541,R-3m,3,1.003,-1.34307008796469,0.0013573387499972167
RbGdO2,5309,R-3m,3,3.755,-2.87809610481438,0.00030827624999973935
YbAgO2,20695,R-3m,3,0.0,-1.77326536731438,0.19323791125
LiNiO2,5059,R-3m,3,0.0,-1.4378831920488,0.017674097499998043
PbO,11722,Cmma,2,1.276,-1.32119588293938,0.011236964999997268
NaNiO2,5060,C2/m,3,0.43,-1.31011120476171,0.0
NaFeO2,6858,R-3m,3,1.679,-1.80917220525585,0.002843844999998124
NaCuO2,14554,C2/m,3,0.873,-1.23287632607404,0.009754322499998969
KPrO2,3022,R-3m,3,3.737,-2.79000108356438,0.0
RbDyO2,3023,R-3m,3,3.704,-2.91155087460604,0.0
RbHoO2,3024,R-3m,3,3.854,-2.92551102627271,0.0021935162500001937
ReO3,17897,Pm-3m,2,0.0,-1.90076963815907,0.003951263749995881
NaNO2,2487,Imm2,3,2.453,-1.15755900948816,0.004032387500009893
