,material_id,band_gap,is_gap_direct,symmetry.crystal_system
0,mp-qlf,3.522599999999999,False,trigonal
1,mp-bwno,2.2962,False,tetragonal
2,mp-cdpul,3.0275,False,trigonal
3,mp-bxjad,0.07939999999999901,False,cubic
4,mp-cpiel,4.1024,True,cubic
5,mp-cpica,0.8071,False,cubic
6,mp-bpjw,4.103299999999999,False,hexagonal
7,mp-bsuk,4.241,True,tetragonal
8,mp-bpjv,5.0865,False,hexagonal
9,mp-bsuj,4.4451,False,tetragonal
10,mp-bxhfp,2.0031,False,cubic
11,mp-cdpuu,7.4101,True,cubic
12,mp-cebni,6.0693,False,tetragonal
13,mp-bxaks,0.9887999999999991,False,cubic
14,mp-cpicb,2.895900000000001,False,cubic
15,mp-bxazk,0.49099999999999905,False,cubic
16,mp-bxaor,0.640699999999999,False,cubic
17,mp-bxayt,2.5892,False,hexagonal
18,mp-bxajc,0.3799,False,cubic
19,mp-cpjvj,0.21680000000000002,True,hexagonal
20,mp-bxhdw,0.0517,False,hexagonal
21,mp-ccaw,4.256600000000001,False,cubic
22,mp-cpifw,3.3847,True,cubic
23,mp-bxfqi,0.6253000000000001,False,cubic
24,mp-bavd,0.258499999999999,True,monoclinic
25,mp-bghgo,2.7028,True,cubic
26,mp-bidyb,0.737499999999999,False,monoclinic
27,mp-blgvx,0.7248000000000001,False,monoclinic
28,mp-bpqwb,0.16560000000000002,False,monoclinic
29,mp-bgiva,0.9637000000000001,False,orthorhombic
30,mp-bgivg,0.8722000000000001,False,orthorhombic
31,mp-cryju,0.22080000000000002,True,monoclinic
32,mp-crdlw,0.394499999999999,True,cubic
33,mp-crdlp,0.40240000000000004,True,cubic
34,mp-cqaaz,0.22229999999999903,True,monoclinic
35,mp-cqgbg,0.33329999999999904,False,monoclinic
36,mp-bfwxc,1.288799999999999,False,cubic
37,mp-cryhb,0.5666,False,triclinic
38,mp-cswhe,0.9837,False,triclinic
39,mp-crdni,1.1099,True,monoclinic
40,mp-cqoyc,0.9809,False,orthorhombic
41,mp-bqmz,0.056799999999999004,False,trigonal
42,mp-cqdop,0.533399999999999,False,monoclinic
43,mp-cszyw,2.9324,False,monoclinic
44,mp-bfovh,3.4397,False,monoclinic
45,mp-brfyu,2.858,False,triclinic
46,mp-bwlsx,0.414099999999999,False,triclinic
47,mp-bfvat,1.6367999999999991,False,triclinic
48,mp-crygg,0.188999999999999,False,orthorhombic
49,mp-biwc,0.38720000000000004,True,orthorhombic
50,mp-bfybh,0.5053000000000001,True,monoclinic
51,mp-bfqzx,1.6045,False,orthorhombic
52,mp-cqhdm,1.0895,False,orthorhombic
53,mp-bgrvq,1.0037,True,monoclinic
54,mp-cpbly,0.449999999999999,True,orthorhombic
55,mp-gyl,0.4736,False,monoclinic
56,mp-bfxmb,0.7489999999999991,True,trigonal
57,mp-bmmwj,0.746,False,orthorhombic
58,mp-bmsal,2.5318,True,monoclinic
59,mp-cqcba,2.8072,False,trigonal
60,mp-bfozs,1.0401,False,monoclinic
61,mp-cdzaj,0.2116,False,orthorhombic
62,mp-bxbbq,1.3699,False,orthorhombic
63,mp-oqu,0.4646,False,orthorhombic
64,mp-ckkms,0.062599999999999,False,orthorhombic
65,mp-cqlhl,2.7767,True,monoclinic
66,mp-bghsn,3.5031,False,orthorhombic
67,mp-bpdnu,2.9514,True,tetragonal
68,mp-bsgxv,2.5301,True,monoclinic
69,mp-cqcnk,1.8311000000000002,False,orthorhombic
70,mp-bnhsx,1.4591,False,monoclinic
71,mp-bfpsn,0.6966000000000001,False,trigonal
72,mp-bwzpz,2.8821,False,orthorhombic
73,mp-cqkin,1.894899999999999,False,monoclinic
74,mp-crdiw,2.4575,False,triclinic
75,mp-bfuox,1.9351,True,orthorhombic
76,mp-bfnlt,0.16060000000000002,True,monoclinic
77,mp-cryii,0.8896000000000001,False,monoclinic
78,mp-bixk,0.8340999999999991,False,cubic
79,mp-bgnhx,0.7716000000000001,False,monoclinic
80,mp-bmgpf,0.7439,False,monoclinic
81,mp-crygr,0.44410000000000005,True,monoclinic
82,mp-cryfy,1.276399999999999,True,tetragonal
83,mp-bith,1.2219,True,tetragonal
84,mp-cczj,0.087199999999999,True,trigonal
85,mp-bgloy,1.100399999999999,True,tetragonal
86,mp-bscu,0.41029999999999905,True,tetragonal
87,mp-ogp,0.41909999999999903,False,monoclinic
88,mp-bfrty,1.2212,True,orthorhombic
89,mp-bfsoi,1.4835,False,orthorhombic
90,mp-cqmeu,1.9610999999999992,False,monoclinic
91,mp-bpjq,1.9011,True,triclinic
92,mp-bfwvc,2.0118,False,monoclinic
93,mp-bfrdd,1.7276999999999991,False,monoclinic
94,mp-bcpa,1.873099999999999,True,cubic
95,mp-bfskt,1.71,False,orthorhombic
96,mp-bfbzi,0.34700000000000003,False,orthorhombic
97,mp-cqawt,2.1369,False,orthorhombic
98,mp-bfsxw,2.3697,False,triclinic
99,mp-cpsvt,1.166799999999999,False,monoclinic
100,mp-bogbq,1.3274,False,trigonal
101,mp-bftrj,1.0803,False,monoclinic
102,mp-bfudp,1.9254,False,monoclinic
103,mp-bfzco,1.440099999999999,False,orthorhombic
104,mp-uqu,1.186599999999999,False,orthorhombic
105,mp-blzel,2.2477,False,monoclinic
106,mp-cryfe,0.9013999999999991,False,tetragonal
107,mp-bdxi,1.3818000000000001,False,monoclinic
108,mp-cqayz,1.840399999999999,False,monoclinic
109,mp-bqgj,0.9506000000000001,False,orthorhombic
110,mp-cktng,1.183999999999999,False,monoclinic
111,mp-dbhsi,1.2299,False,monoclinic
112,mp-djmyx,0.9741999999999991,False,orthorhombic
113,mp-ekvtp,1.5694,True,monoclinic
114,mp-elgps,1.0891,False,monoclinic
115,mp-evxih,0.6818999999999991,False,orthorhombic
116,mp-gbkap,0.6684999999999991,False,tetragonal
117,mp-btyj,1.3634,False,monoclinic
118,mp-bwin,1.3001,False,orthorhombic
119,mp-bwqe,0.6242999999999991,False,triclinic
120,mp-bwqu,1.442799999999999,False,triclinic
121,mp-cboy,1.0895,False,orthorhombic
122,mp-cezf,0.12020000000000002,False,monoclinic
123,mp-bfqvh,1.0853,False,monoclinic
124,mp-bfwll,0.37009999999999904,False,monoclinic
125,mp-bitdl,1.000699999999999,False,monoclinic
126,mp-bpqnw,0.012400000000000001,True,monoclinic
127,mp-cpvkj,2.301599999999999,False,triclinic
128,mp-btvq,2.3467000000000002,True,monoclinic
129,mp-iij,1.2289,False,orthorhombic
130,mp-blpbz,1.321,False,triclinic
131,mp-cpiaf,1.7115,True,orthorhombic
132,mp-cryfc,0.0908,True,cubic
133,mp-cszze,0.027700000000000002,True,triclinic
134,mp-elcam,0.191699999999999,False,orthorhombic
135,mp-bgjrn,0.9678,False,orthorhombic
136,mp-bqyus,0.13839999999999902,False,orthorhombic
137,mp-crdke,0.15400000000000003,False,orthorhombic
138,mp-zan,1.7022,False,monoclinic
139,mp-gakdy,2.093499999999999,False,monoclinic
140,mp-rft,0.42639999999999906,False,orthorhombic
141,mp-bltaq,0.48150000000000004,False,triclinic
142,mp-cqdpn,2.4602,False,trigonal
143,mp-crdfy,0.015699999999999003,True,orthorhombic
144,mp-bmsfq,0.1452,False,orthorhombic
145,mp-ckknc,0.058600000000000006,False,monoclinic
146,mp-cszyo,0.06519999999999901,True,triclinic
147,mp-cpxdu,0.7501000000000001,True,orthorhombic
148,mp-cptsm,2.020299999999999,False,monoclinic
149,mp-cqdki,2.1281,True,monoclinic
150,mp-bfylo,1.1402,False,triclinic
151,mp-basy,1.627299999999999,False,monoclinic
152,mp-cpblk,0.022099999999999002,False,orthorhombic
153,mp-bfupc,0.0001,False,monoclinic
154,mp-bqztm,0.020399999999999002,False,triclinic
155,mp-cpiao,0.28080000000000005,False,monoclinic
156,mp-brdr,1.2999,True,monoclinic
157,mp-bwdl,1.9614,False,triclinic
158,mp-bcsgo,2.0439,False,orthorhombic
159,mp-bkgpg,1.7809,False,orthorhombic
160,mp-ceiql,1.098999999999999,False,orthorhombic
161,mp-bnaes,0.038699999999999006,False,monoclinic
162,mp-cpiaq,1.246,False,triclinic
163,mp-cryij,0.099399999999999,False,triclinic
164,mp-gallb,0.153999999999999,False,triclinic
165,mp-cryga,9.999999999998901e-05,True,trigonal
166,mp-gol,1.177099999999999,False,trigonal
167,mp-bfqgp,1.6989,False,trigonal
168,mp-bfyuu,1.627799999999999,False,monoclinic
169,mp-ocw,0.35760000000000003,True,orthorhombic
170,mp-hpx,0.845299999999999,False,trigonal
171,mp-blsep,0.9037000000000001,False,orthorhombic
172,mp-botu,0.18029999999999902,True,cubic
173,mp-byzk,1.563399999999999,True,trigonal
174,mp-bztm,0.39320000000000005,False,triclinic
175,mp-esa,0.023499999999999,True,cubic
176,mp-cryih,0.09489999999999901,True,cubic
177,mp-cpzfq,1.8021,False,orthorhombic
178,mp-bfysc,0.8717,False,trigonal
179,mp-cryhp,0.6774999999999991,True,monoclinic
180,mp-bctgr,1.546999999999999,False,tetragonal
181,mp-crdon,0.0942,True,orthorhombic
182,mp-cryjk,2.5277000000000003,False,monoclinic
183,mp-cqeyu,1.356599999999999,False,monoclinic
184,mp-bfzsy,2.102999999999999,False,triclinic
185,mp-bfzzg,0.306899999999999,False,monoclinic
186,mp-bala,0.5388000000000001,False,cubic
187,mp-bnpmz,2.1569,True,orthorhombic
188,mp-crdig,1.7696,False,triclinic
189,mp-bgajb,2.1573,True,orthorhombic
190,mp-bpeb,0.8305999999999991,False,monoclinic
191,mp-crdin,0.0053,False,monoclinic
192,mp-bnpnz,0.8478,False,trigonal
